Date,NEIXCTAT 
2011-06-29,2324.332
2011-06-30,2315.96
2011-07-01,2310.629
2011-07-04,2312.976
2011-07-05,2323.99
2011-07-06,2337.443
2011-07-07,2355.343
2011-07-08,2364.381
2011-07-11,2359.216
2011-07-12,2361.748
2011-07-13,2377.459
2011-07-14,2366.317
2011-07-15,2375.655
2011-07-18,2368.397
2011-07-19,2385.666
2011-07-20,2378.423
2011-07-21,2377.266
2011-07-22,2393.693
2011-07-25,2398.108
2011-07-26,2417.044
2011-07-27,2399.252
2011-07-28,2398.015
2011-07-29,2426.16
2011-08-01,2421.32
2011-08-02,2425.177
2011-08-03,2423.898
2011-08-04,2383.627
2011-08-05,2379.597
2011-08-08,2371.967
2011-08-09,2387.984
2011-08-10,2410.632
2011-08-11,2392.781
2011-08-12,2390.555
2011-08-15,2382.687
2011-08-16,2391.364
2011-08-17,2402.543
2011-08-18,2428.661
2011-08-19,2440.917
2011-08-22,2442.086
2011-08-23,2425.138
2011-08-24,2402.574
2011-08-25,2398.848
2011-08-26,2415.01
2011-08-29,2403.74
2011-08-30,2414.984
2011-08-31,2397.636
2011-09-01,2396.894
2011-09-02,2424.519
2011-09-05,2436.285
2011-09-06,2430.648
2011-09-07,2417.041
2011-09-08,2420.17
2011-09-09,2426.22
2011-09-12,2415.135
2011-09-13,2404.273
2011-09-14,2393.809
2011-09-15,2374.117
2011-09-16,2380.588
2011-09-19,2392.299
2011-09-20,2398.472
2011-09-21,2398.805
2011-09-22,2414.369
2011-09-23,2399.465
2011-09-26,2387.44
2011-09-27,2345.073
2011-09-28,2353.342
2011-09-29,2347.072
2011-09-30,2371.653
2011-10-03,2396.858
2011-10-04,2411.14
2011-10-05,2391.49
2011-10-06,2361.863
2011-10-07,2351.254
2011-10-10,2320.672
2011-10-11,2314.4
2011-10-12,2295.136
2011-10-13,2303.924
2011-10-14,2285.145
2011-10-17,2296.693
2011-10-18,2311.483
2011-10-19,2307.174
2011-10-20,2318.585
2011-10-21,2305.637
2011-10-24,2288.485
2011-10-25,2296.708
2011-10-26,2299.103
2011-10-27,2270.57
2011-10-28,2263.353
2011-10-31,2261.104
2011-11-01,2286.214
2011-11-02,2287.681
2011-11-03,2286.806
2011-11-04,2289.872
2011-11-07,2306.19
2011-11-08,2305.022
2011-11-09,2308.359
2011-11-10,2311.827
